Employe No,Job Title,Department,TEAMS,System,Salary,Job Start Date,Exit Date,Job Status,Employment type
EMP-00131,Junior Coder,Operations,Manor Field,SystemONE,50000,7/18/2025,11/10/2025,On Probation,Full Time
EMP-00132,Coder,Operations,School Lane,SystemONE,50000,7/18/2025,,On Probation,Full Time
EMP-00133,Coder,Operations,Hereford,Emis/Docman,30000,8/1/2025,,On Probation,Full Time
EMP-00134,Trainee,Operations,,,,8/1/2025,8/1/2025,,Left
EMP-00135,Junior Coder,Operations,School Lane,SystemONE,30000,8/1/2025,12/5/2025,On Probation,Full Time
EMP-00136,Junior Coder,Operations,Broom Leys,SystemONE,30000,8/1/2025,10/2/2025,On Probation,Full Time
EMP-00137,Junior Coder,Operations,The Hill,Emis/Docman,30000,8/1/2025,10/6/2025,On Probation,Full Time
EMP-00138,Coder,Operations,Market Rasen,SystemONE,30000,8/1/2025,,On Probation,Full Time
EMP-00139,Junior Coder,Operations,School Lane,SystemONE,30000,8/1/2025,12/9/2025,On Probation,Full Time
EMP-00140,Trainee,Operations,,,,8/1/2025,8/11/2025,On Probation,Full Time
EMP-00141,Junior Coder,Operations,Acle,Emis/Docman,30000,8/1/2025,9/19/2025,On Probation,Full Time
EMP-00142,Junior Coder,Operations,Bredburry,Emis/Docman,30000,8/1/2025,11/3/2025,On Probation,Full Time
EMP-00143,Junior Coder,Operations,Hazeldene,Emis/Docman,30000,9/1/2025,10/24/2025,On Probation,Full Time
EMP-00144,Coder,Operations,The Hill,Emis/Docman,30000,9/1/2025,,On Probation,Full Time
EMP-00145,Coder,Operations,Hazeldene,Emis/Docman,30000,9/1/2025,,On Probation,Full Time
EMP-00146,Coder,Operations,The Hill,Emis/Docman,30000,9/1/2025,,On Probation,Full Time
EMP-00147,Trainee,Operations,,,30000,9/1/2025,9/25/2025,Training,Full Time
EMP-00148,Coder,Operations,Taunton Vale,Emis,30000,9/1/2025,,On Probation,Full Time
EMP-00149,Coder,Operations,Uplands,Emis/Docman,30000,9/1/2025,,On Probation,Full Time
EMP-00150,Coder,Operations,LG,Emis,35000,9/1/2025,,On Probation,Full Time
EMP-00151,Junior Coder,Operations,Gleebe,Emis,35000,9/1/2025,1/14/2026,On Probation,Full Time
EMP-00152,Trainee,Operations,,,30000,9/1/2025,9/5/2025,Training,Full Time
EMP-00153,Trainee,Operations,,,30000,9/1/2025,9/1/2025,Training,Full Time
EMP-00154,Trainee,Operations,,,30000,9/1/2025,9/15/2025,Training,Full Time
EMP-00155,Trainee,Operations,,,40000,9/1/2025,9/19/2025,Training,Full Time
EMP-00156,Coder,Operations,School Lane,SystemONE,30000,9/1/2025,,On Probation,Full Time
EMP-00157,Junior Coder,Operations,Broom Leys,SystemONE,30000,9/1/2025,11/1/2025,On Probation,Full Time
EMP-00158,Junior Coder,Operations,The Grove,SystemONE,30000,9/1/2025,,On Probation,Full Time
EMP-00159,Coder,Operations,School Lane,SystemONE,30000,9/1/2025,,On Probation,Full Time
EMP-00160,Trainee,Operations,,,30000,9/1/2025,9/24/2025,Training,Full Time
EMP-00161,Junior Coder,Operations,St Georges,Emis/Docman,40000,9/15/2025,11/10/2025,On Probation,Full Time
EMP-00162,Coder,Operations,Clarendon,Emis/Docman,40000,9/15/2025,,On Probation,Full Time
EMP-00163,Lead Trainer,Training,,,180000,8/5/2025,10/3/2025,Confirmed,Part Time
EMP-00164,Junior Coder,Operations,Taunton Vale,Emis,40000,9/15/2025,1/1/2026,On Probation,Full Time
EMP-00165,Coder,Operations,Bredburry,EMIS/Docman,30000,9/15/2025,,On Probation,Full Time
EMP-00166,Assistant Clinical Coding Auditor,Audit Department,,EMIS/Docman,55000,9/15/2025,,On Probation,Full Time
EMP-00167,Trainee,Operations,,EMIS/Docman,,9/15/2025,9/26/2025,Training,Full Time
EMP-00168,Trainee,Operations,,,,10/1/2025,10/1/2025,Training,Full Time
EMP-00169,Trainee,Operations,,SystemONE,30000,10/1/2025,1/1/2026,Training,Full Time
EMP-00170,Coder,Operations,,,30000,10/1/2025,,On Probation,Full Time
EMP-00171,Coder,Operations,,,35000,10/1/2025,,On Probation,Full Time
EMP-00172,Junior Coder,Operations,,,40000,10/1/2025,2/6/2026,On Probation,Full Time
EMP-00173,Coder,Operations,,,40000,10/1/2025,,On Probation,Full Time
EMP-00174,Assistant Clinical Coding Auditor,Audit Department,,,40000,10/1/2025,,On Probation,Full Time
EMP-00175,Trainee,Operations,,,,10/1/2025,10/1/2025,Training,Full Time
EMP-00176,Trainee,Operations,,,,10/1/2025,10/1/2025,Training,Full Time
EMP-00177,Trainee,Operations,,,,10/1/2025,10/1/2025,Training,Full Time
EMP-00178,Trainee,Operations,,,35000,10/1/2025,12/19/2025,On Probation,Full Time
EMP-00179,Coder,Operations,,,30000,10/1/2025,,On Probation,Full Time
EMP-00180,Coder,Operations,,,30000,10/1/2025,,On Probation,Full Time
EMP-00181,Coder,Operations,,,30000,10/1/2025,,On Probation,Full Time
EMP-00182,Coder,Operations,,,30000,10/1/2025,,On Probation,Full Time
EMP-00183,Trainee,Operations,,,30000,10/1/2025,10/13/2025,Training,Full Time
EMP-00184,Trainee,Operations,,,30000,10/1/2025,10/13/2025,Training,Full Time
EMP-00185,Coder,Operations,,,30000,10/1/2025,,On Probation,Full Time
EMP-00186,Junior Coder,Operations,,,35000,10/1/2025,1/13/2026,On Probation,Full Time
EMP-00187,Junior Coder,Operations,,,35000,10/1/2025,,On Probation,Full Time
EMP-00188,Junior Coder,Operations,LG,,35000,10/20/2025,3/25/2026,On Probation,Full Time
EMP-00189,Coder,Operations,LG,,35000,10/20/2025,,On Probation,Full Time
EMP-00190,Junior Coder,Operations,LG,,35000,10/20/2025,,On Probation,Full Time
EMP-00191,Coder,Operations,LG,,30000,10/20/2025,,On Probation,Full Time
EMP-00192,Coder,Operations,LG,,30000,10/20/2025,,On Probation,Full Time
EMP-00193,Coder,Operations,,,70000,10/27/2025,,On Probation,Full Time
EMP-00194,Trainee,Operations,,,50000,10/27/2025,11/21/2025,On Probation,Full Time
EMP-00195,Coder,Operations,,,35000,10/27/2025,,On Probation,Full Time
EMP-00196,Junior Coder,Operations,,,40000,10/27/2025,,On Probation,Full Time
EMP-00197,Junior Coder,Operations,,,30000,10/27/2025,,On Probation,Full Time
EMP-00198,Junior Coder,Operations,,,35000,11/3/2025,,Training,Full Time
EMP-00199,Junior Coder,Operations,,,35000,11/3/2025,,Training,Full Time
EMP-00200,Trainee,Operations,,,40000,11/3/2025,11/3/2025,Training,Full Time
EMP-00201,Trainee,Operations,,,30000,11/3/2025,11/3/2025,Training,Full Time
EMP-00202,Junior Coder,Operations,,,35000,11/3/2025,,Training,Full Time
EMP-00203,Junior Coder,Operations,,,40000,11/3/2025,2/10/2026,Training,Full Time
EMP-00204,Assistant Clinical Coding Auditor,Audit Department,,,40000,11/3/2025,,Training,Full Time
EMP-00205,Junior Coder,Operations,,,30000,11/3/2025,,Training,Full Time
EMP-00206,Junior Coder,Operations,,,40000,11/3/2025,,Training,Full Time
EMP-00207,Trainee,Operations,,,30000,11/3/2025,11/10/2025,Training,Full Time
EMP-00208,Trainee,Operations,,,70000,11/3/2025,1/22/2026,Training,Full Time
EMP-00209,Junior Coder,Operations,,Emis/Docman,50000,11/3/2025,,On Probation,Full Time
EMP-00210,Junior Coder,Operations,,,50000,11/3/2025,,Training,Full Time
EMP-00211,Trainee,Operations,,,35000,11/12/2025,1/20/2026,Training,Full Time
EMP-00212,Junior Coder,Operations,,,30000,11/12/2025,,Training,Full Time
EMP-00213,Junior Coder,Operations,,,50000,11/12/2025,,Training,Full Time
EMP-00214,Junior Coder,Operations,,,35000,11/15/2025,,Training,Full Time
EMP-00215,Trainee,Operations,,,30000,11/15/2025,1/12/2026,Training,Full Time
EMP-00216,Junior Coder,Audit Department,,,40000,11/15/2025,,Training,Full Time
EMP-00217,Junior Coder,Operations,,,35000,11/24/2025,3/12/2026,Training,Full Time
EMP-00218,Junior Coder,Operations,,,35000,11/24/2025,,Training,Full Time
EMP-00219,Junior Coder,Operations,,,35000,11/24/2025,,Training,Full Time
EMP-00220,Junior Coder,Operations,,,30000,11/24/2025,,Training,Full Time
EMP-00221,Junior Coder,Operations,,,35000,11/24/2025,,Training,Full Time
EMP-00222,Trainee,Operations,,,30000,11/24/2025,1/1/2026,Training,Full Time
EMP-00223,Junior Coder,Operations,,,30000,11/24/2025,,Training,Full Time
EMP-00224,Junior Coder,Operations,,,35000,11/24/2025,3/2/2026,Training,Full Time
EMP-00225,Junior Coder,Operations,,,35000,11/24/2025,1/29/2026,Training,Full Time
EMP-00226,Trainee,Operations,,,30000,11/24/2025,12/8/2025,Training,Full Time
EMP-00227,Junior Coder,Operations,,,35000,11/24/2025,,Training,Full Time
EMP-00228,Junior Coder,Operations,,,30000,11/24/2025,,Training,Full Time
EMP-00229,Junior Coder,Operations,,,35000,11/24/2025,3/3/2026,Training,Full Time
EMP-00230,Junior Coder,Operations,,,30000,11/24/2025,3/2/2026,Training,Full Time
EMP-00231,Junior Coder,Operations,,,50000,11/24/2025,,Training,Full Time
EMP-00232,Trainee,Operations,,,30000,11/24/2025,1/7/2026,Training,Full Time
EMP-00233,Junior Coder,Operations,,,95000,12/1/2025,,Training,Full Time
EMP-00234,Junior Coder,Operations,,,35000,12/1/2025,,Training,Full Time
EMP-00235,Trainee,Operations,,,40000,12/1/2025,12/1/2025,Training,Full Time
EMP-00236,Junior Coder,Operations,,,40000,12/1/2025,2/23/2026,Training,Full Time
EMP-00237,Junior Coder,Operations,,,35000,12/1/2025,,Training,Full Time
EMP-00238,Junior Coder,Operations,,,35000,12/1/2025,,Training,Full Time
EMP-00239,Junior Coder,Operations,,,35000,12/8/2025,,,Full Time
EMP-00240,Junior Coder,Operations,,,40000,12/8/2025,,,
EMP-00241,Junior Coder,Operations,,,35000,12/8/2025,,,
EMP-00242,Trainee,Operations,,,35000,12/8/2025,12/12/2025,,
EMP-00243,Junior Coder,Operations,,,35000,12/8/2025,,,
EMP-00244,Junior Coder,Operations,,,35000,12/8/2025,,,
EMP-00245,Junior Coder,Operations,,,35000,12/8/2025,1/20/2026,,
EMP-00246,Junior Coder,Operations,,,40000,12/8/2025,,,
EMP-00247,Junior Coder,Operations,,,30000,12/8/2025,,,
EMP-00248,Junior Coder,Operations,,,35000,12/8/2025,,,
EMP-00249,Junior Coder,Operations,,,35000,12/15/2025,,,
EMP-00250,Trainee,Operations,,,35000,12/15/2025,12/26/2025,,
EMP-00251,Junior Coder,Operations,,,30000,12/15/2025,,,
EMP-00252,Junior Coder,Operations,,,30000,12/15/2025,,,
EMP-00253,Junior Coder,Operations,,,40000,12/15/2025,,,
EMP-00254,Junior Coder,Operations,,,40000,12/15/2025,,,
EMP-00255,Junior Coder,Operations,,,35000,12/15/2025,,,
EMP-00256,Trainee,Operations,,,30000,12/15/2025,1/19/2026,,
EMP-00257,Junior Coder,Operations,,,35000,12/15/2025,,,
EMP-00258,Junior Coder,Operations,,,35000,12/15/2025,,,
EMP-00259,Junior Coder,Operations,,,40000,12/15/2025,,,
EMP-00260,Junior Coder,Operations,,,40000,12/15/2025,,,
EMP-00261,Trainee,Operations,,,30000,12/15/2025,2/6/2026,,
EMP-00262,Junior Coder,Operations,,,35000,12/15/2025,,,
EMP-00263,Junior Coder,Operations,,,40000,12/15/2025,,,
EMP-00264,Trainee,Operations,,,30000,12/15/2025,1/8/2026,,
EMP-00265,Junior Coder,Operations,,,35000,12/15/2025,,,
EMP-00266,Junior Coder,Operations,,,40000,12/15/2025,,,
EMP-00267,Project Manager,IT,,,35000,1/19/2026,,,
EMP-00268,Junior Coder,Operations,,,35000,1/19/2026,,,
EMP-00269,Junior Coder,Operations,,,35000,1/19/2026,,,
EMP-00270,Trainee,Operations,,,30000,1/19/2026,1/19/2026,,
EMP-00271,Junior Coder,Operations,,,30000,1/19/2026,,,
EMP-00272,Junior Coder,Operations,,,35000,1/19/2026,,,
EMP-00273,Junior Coder,Operations,,,30000,1/19/2026,,,
EMP-00274,Junior Coder,Operations,,,35000,1/19/2026,,,
EMP-00275,Junior Coder,Operations,,,30000,1/19/2026,,,
EMP-00276,Junior Coder,Operations,,,35000,1/19/2026,,,
EMP-00277,Junior Coder,Operations,,,35000,1/19/2026,,,
EMP-00279,Senior Executive Legal HR & Compliance,Legal,,,80000,1/19/2026,2/23/2026,,
EMP-00280,Junior Coder,Operations,,,35000,1/19/2026,,,
EMP-00281,Junior Coder,Operations,,,40000,1/23/2026,,,
EMP-00282,Junior Coder,Operations,,,30000,1/23/2026,2/25/2026,,
EMP-00283,Trainee,Operations,,,30000,1/23/2026,,,
EMP-00284,Junior Coder,Operations,,,30000,1/23/2026,1/23/2026,,
EMP-00285,Junior Coder,Operations,,,30000,1/23/2026,,,
EMP-00286,Junior Coder,Operations,,,30000,1/23/2026,,,
EMP-00287,Junior Coder,Operations,,,50000,1/23/2026,,,
EMP-00288,Junior Coder,Operations,,,30000,1/23/2026,,,
EMP-00289,Junior Coder,Operations,,,35000,1/23/2026,,,
EMP-00290,Junior Coder,Operations,,,30000,1/23/2026,,,
,Trainee,Operations,,,30000,2/2/2026,,,
EMP-00291,Junior Coder,Operations,,,40000,2/2/2026,2/2/2026,,
EMP-00292,Junior Coder,Operations,,,30000,2/2/2026,2/2/2026,,
EMP-00293,Junior Coder,Operations,,,30000,2/2/2026,,,
EMP-00294,Junior Coder,Operations,,,30000,2/2/2026,,,
EMP-00295,Junior Coder,Operations,,,30000,2/2/2026,,,
EMP-00296,Junior Coder,Operations,,,35000,2/2/2026,,,
EMP-00297,Junior Coder,Operations,,,35000,2/2/2026,,,
EMP-00298,Junior Coder,Operations,,,35000,2/9/2026,,,
EMP-00299,Junior Coder,Operations,,,35000,2/9/2026,,,
EMP-00300,Junior Coder,Operations,,,35000,2/9/2026,,,
EMP-00301,Junior Coder,Operations,,,35000,2/9/2026,,,
EMP-00302,Junior Coder,Operations,,,35000,2/9/2026,3/9/2026,,
EMP-00303,Trainee,Operations,,,30000,2/9/2026,,,
EMP-00304,Trainee,Operations,,,40000,2/9/2026,,,
EMP-00305,Trainee,Operations,,,30000,2/17/2026,3/2/2026,,
EMP-00306,Trainee,Operations,,,30000,2/17/2026,2/17/2026,,
EMP-00307,Trainee,Operations,,,40000,2/17/2026,,,
EMP-00308,Trainee,Operations,,,30000,2/17/2026,,,
EMP-00309,Trainee,Operations,,,30000,2/17/2026,,,
EMP-00310,Trainee,Operations,,,35000,2/17/2026,,,
EMP-00311,Trainee,Operations,,,30000,2/17/2026,,,
EMP-00312,Trainee,Operations,,,35000,2/17/2026,,,
EMP-00313,Trainee,Operations,,,30000,2/17/2026,,,
EMP-00314,Trainee,Operations,,,40000,2/17/2026,2/25/2026,,
EMP-00315,Trainee,Operations,,,30000,2/17/2026,,,
EMP-00316,Trainee,Operations,,,30000,2/17/2026,,,
EMP-00317,Trainee,Operations,,,30000,2/17/2026,,,
EMP-00318,Trainee,Operations,,Emis/Docman,35000,2/17/2026,3/10/2026,,
EMP-00319,Trainee,Operations,,Emis/Docman,30000,2/17/2026,,,
EMP-00320,Trainee,Operations,,Emis/Docman,30000,2/17/2026,,,
EMP-00321,Trainee,Operations,,Emis/Docman,30000,3/5/2026,,,
EMP-00322,Trainee,Operations,,Emis/Docman,35000,3/5/2026,,,
EMP-00323,Trainee,Operations,,Emis/Docman,30000,3/5/2026,,,
EMP-00324,Trainee,Operations,,Emis/Docman,40000,3/5/2026,,,
EMP-00325,Trainee,Operations,,Emis/Docman,35000,3/5/2026,,,
EMP-00326,Trainee,Operations,,Emis/Docman,35000,3/5/2026,,,
EMP-00327,Trainee,Operations,,Emis/Docman,30000,3/5/2026,,,
EMP-00328,Trainee,Operations,,Emis/Docman,35000,3/5/2026,,,
EMP-00329,Trainee,Operations,,Emis/Docman,35000,3/5/2026,,,
EMP-00330,Trainee,Operations,,Emis/Docman,30000,3/5/2026,,,
EMP-00331,Trainee,Operations,,Emis/Docman,35000,3/5/2026,,,
,,,,,,3/5/2026,,,
,,,,,,3/5/2026,,,
